,Accuracy,Precision,Recall,F1-Score,AUC
Logistic Regression,0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666666,0.958874458874459
Decision Tree,0.7540983606557377,0.7096774193548387,0.7857142857142857,0.7457627118644068,0.7564935064935064
Random Forest,0.8852459016393442,0.8181818181818182,0.9642857142857143,0.8852459016393442,0.9366883116883118
SVM,0.9016393442622951,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.9588744588744589
