,Baseline_Accuracy,Tuned_Accuracy,Baseline_F1,Tuned_F1
Logistic Regression,0.8688524590163934,0.8852459016393442,0.8666666666666666,0.8813559322033899
Decision Tree,0.7540983606557377,0.7540983606557377,0.7457627118644068,0.7540983606557378
Random Forest,0.8852459016393442,0.8688524590163934,0.8852459016393442,0.8666666666666666
SVM,0.9016393442622951,0.8524590163934426,0.8928571428571429,0.8524590163934426
